algorithm,dataset,repetition,quality,supp+,time
SMHDD_1.0,alon_og_labeled,1,32.9,0.975,4.59
SMHDD_1.0,alon_og_labeled,2,33.2,0.95,4.952
SMHDD_1.0,alon_og_labeled,3,32.3,0.95,3.916
SMHDD_1.0,alon_og_labeled,4,32.3,0.95,2.959
SMHDD_1.0,alon_og_labeled,5,33.6,1.0,3.662
SMHDD_1.0,alon_og_labeled,6,34.8,1.0,8.231
SMHDD_1.0,alon_og_labeled,7,32.7,0.975,3.547
SMHDD_1.0,alon_og_labeled,8,32.9,1.0,4.273
SMHDD_1.0,alon_og_labeled,9,32.7,0.975,4.204
SMHDD_1.0,alon_og_labeled,10,34.0,1.0,4.892
SMHDD_1.0,burczynski_og_labeled,1,43.5,0.8305084745762712,64.94
SMHDD_1.0,burczynski_og_labeled,2,43.0,0.847457627118644,61.639
SMHDD_1.0,burczynski_og_labeled,3,43.8,0.9322033898305084,84.179
SMHDD_1.0,burczynski_og_labeled,4,45.6,0.9830508474576272,94.092
SMHDD_1.0,burczynski_og_labeled,5,44.6,0.9661016949152542,94.226
SMHDD_1.0,burczynski_og_labeled,6,43.5,0.7966101694915254,75.806
SMHDD_1.0,burczynski_og_labeled,7,45.8,0.9830508474576272,107.944
SMHDD_1.0,burczynski_og_labeled,8,44.6,0.9491525423728814,84.69
SMHDD_1.0,burczynski_og_labeled,9,41.5,0.7966101694915254,65.219
SMHDD_1.0,burczynski_og_labeled,10,43.8,0.8305084745762712,77.501
SMHDD_1.0,chiaretti_og_labeled,1,63.9,1.0,182.755
SMHDD_1.0,chiaretti_og_labeled,2,64.9,0.972972972972973,118.035
SMHDD_1.0,chiaretti_og_labeled,3,52.9,0.9864864864864865,66.465
SMHDD_1.0,chiaretti_og_labeled,4,66.1,1.0,193.616
SMHDD_1.0,chiaretti_og_labeled,5,65.2,0.972972972972973,151.413
SMHDD_1.0,chiaretti_og_labeled,6,58.5,0.972972972972973,132.301
SMHDD_1.0,chiaretti_og_labeled,7,64.5,0.9594594594594594,135.927
SMHDD_1.0,chiaretti_og_labeled,8,63.0,0.972972972972973,111.032
SMHDD_1.0,chiaretti_og_labeled,9,52.0,0.9594594594594594,69.651
SMHDD_1.0,chiaretti_og_labeled,10,64.0,1.0,107.062
SMHDD_1.0,chin_og_labeled,1,68.4,0.9866666666666667,190.168
SMHDD_1.0,chin_og_labeled,2,67.9,1.0,134.506
SMHDD_1.0,chin_og_labeled,3,67.1,0.9866666666666667,169.219
SMHDD_1.0,chin_og_labeled,4,66.5,1.0,141.524
SMHDD_1.0,chin_og_labeled,5,67.8,0.9866666666666667,201.646
SMHDD_1.0,chin_og_labeled,6,68.2,0.9866666666666667,168.969
SMHDD_1.0,chin_og_labeled,7,67.5,1.0,170.704
SMHDD_1.0,chin_og_labeled,8,68.1,0.9866666666666667,157.918
SMHDD_1.0,chin_og_labeled,9,68.4,1.0,129.905
SMHDD_1.0,chin_og_labeled,10,68.1,1.0,159.501
SMHDD_1.0,chowdary_og_labeled,1,54.8,0.9838709677419355,26.842
SMHDD_1.0,chowdary_og_labeled,2,54.8,0.9838709677419355,33.79
SMHDD_1.0,chowdary_og_labeled,3,54.8,0.9838709677419355,25.844
SMHDD_1.0,chowdary_og_labeled,4,54.6,0.9838709677419355,28.153
SMHDD_1.0,chowdary_og_labeled,5,54.6,0.9838709677419355,30.925
SMHDD_1.0,chowdary_og_labeled,6,54.7,0.9838709677419355,39.476
SMHDD_1.0,chowdary_og_labeled,7,54.5,0.9838709677419355,38.68
SMHDD_1.0,chowdary_og_labeled,8,54.4,0.9838709677419355,31.437
SMHDD_1.0,chowdary_og_labeled,9,54.6,0.9838709677419355,34.43
SMHDD_1.0,chowdary_og_labeled,10,54.7,0.9838709677419355,44.504
SMHDD_1.0,christensen_og_labeled,1,102.4,1.0,1.7
SMHDD_1.0,christensen_og_labeled,2,103.4,1.0,2.054
SMHDD_1.0,christensen_og_labeled,3,103.8,1.0,2.164
SMHDD_1.0,christensen_og_labeled,4,102.6,1.0,1.835
SMHDD_1.0,christensen_og_labeled,5,102.4,1.0,1.669
SMHDD_1.0,christensen_og_labeled,6,103.4,1.0,1.764
SMHDD_1.0,christensen_og_labeled,7,102.2,1.0,1.834
SMHDD_1.0,christensen_og_labeled,8,103.0,1.0,1.874
SMHDD_1.0,christensen_og_labeled,9,104.0,1.0,1.977
SMHDD_1.0,christensen_og_labeled,10,103.0,1.0,1.799
SMHDD_1.0,golub_og_labeled,1,42.9,1.0,10.104
SMHDD_1.0,golub_og_labeled,2,42.9,1.0,12.668
SMHDD_1.0,golub_og_labeled,3,43.3,1.0,9.682
SMHDD_1.0,golub_og_labeled,4,43.1,1.0,10.373
SMHDD_1.0,golub_og_labeled,5,43.3,1.0,10.715
SMHDD_1.0,golub_og_labeled,6,43.4,1.0,10.868
SMHDD_1.0,golub_og_labeled,7,43.2,1.0,9.565
SMHDD_1.0,golub_og_labeled,8,43.5,1.0,10.736
SMHDD_1.0,golub_og_labeled,9,43.4,1.0,10.023
SMHDD_1.0,golub_og_labeled,10,42.6,1.0,9.785
